,info,wfm,wfm_year,wfm_month,wfm_day,act_year,act_month,act_day,day_of_week
168,Union Market Houston 4pm-7pm,False,NULL,NULL,NULL,2014,6,18,Wednesday
169,WFM Tribeca 4pm-7pm,True,2014,6,16,2014,6,19,Thursday
170,WFM University Heights 3pm-6pm,True,2014,6,16,2014,6,20,Friday
171,Brooklyn Victory Garden 1:30pm-3:30pm,False,NULL,NULL,NULL,2014,6,21,Saturday
172,TFM (30 demos w Interactions) 12pm-4pm,False,NULL,NULL,NULL,2014,6,22,Sunday
173,,False,NULL,NULL,NULL,2014,6,23,Monday
174,WFM Chelsea 4pm-7pm,True,2014,6,23,2014,6,24,Tuesday
175,,False,NULL,NULL,NULL,2014,6,25,Wednesday
176,Union Market Houston 4pm-7pm,False,NULL,NULL,NULL,2014,6,26,Thursday
177,Williams-Sonoma Boston 3pm-6pm,False,NULL,NULL,NULL,2014,6,27,Friday
178,DiBrunos Rittenhouse 2pm-5pm,False,NULL,NULL,NULL,2014,6,28,Saturday
179,Williams-Sonoma DC 3pm-6pm,False,NULL,NULL,NULL,2014,6,29,Sunday
180,,False,NULL,NULL,NULL,2014,6,30,Monday
181,WFM Bowery 4pm-7pm (Mirus),True,2014,6,30,2014,7,1,Tuesday
182,Southern Season Chapel Hill 3pm-6pm (Mirus),False,NULL,NULL,NULL,2014,7,2,Wednesday
183,WFM Chelsea 4pm-7pm,True,2014,6,30,2014,7,3,Thursday
184,,False,NULL,NULL,NULL,2014,7,4,Friday
185,"BB&B 12pm-4pm (Farmington Hills, East Havover, 61st St, Shaumburg) (Mirus)",False,NULL,NULL,NULL,2014,7,5,Saturday
186,"DiBrunos (Ardmore) 2pm-5pm BB&B West LA, Tysons Corner, Wodbirdge 12pm-4pm",False,NULL,NULL,NULL,2014,7,6,Sunday
187,WFM University Heights 4pm-7pm,True,2014,7,7,2014,7,7,Monday
188,Westerly Market 4pm-7pm,False,NULL,NULL,NULL,2014,7,8,Tuesday
189,,False,NULL,NULL,NULL,2014,7,9,Wednesday
190,Williams-Sonoma 59th St. 2pm-5pm,False,NULL,NULL,NULL,2014,7,10,Thursday
191,,False,NULL,NULL,NULL,2014,7,11,Friday
192,Fairway Market Red Hook 12pm-3pm,False,NULL,NULL,NULL,2014,7,12,Saturday
193,"Williams-Sonoma Short Hills, NJ 1pm-4pm(Mirus)",False,NULL,NULL,NULL,2014,7,13,Sunday
194,,False,NULL,NULL,NULL,2014,7,14,Monday
195,,False,NULL,NULL,NULL,2014,7,15,Tuesday
196,,False,NULL,NULL,NULL,2014,7,16,Wednesday
197,,False,NULL,NULL,NULL,2014,7,17,Thursday
198,Southern Season Charleston 3pm-6pm,False,NULL,NULL,NULL,2014,7,18,Friday
199,Savory Pantry (NY opening) 1pm-4pm,False,NULL,NULL,NULL,2014,7,19,Saturday
200,,False,NULL,NULL,NULL,2014,7,20,Sunday
201,,False,NULL,NULL,NULL,2014,7,21,Monday
202,WFM Bowery 4pm-7pm,True,2014,7,21,2014,7,22,Tuesday
203,,False,NULL,NULL,NULL,2014,7,23,Wednesday
204,DiBrunos Franklin 5pm-7pm,False,NULL,NULL,NULL,2014,7,24,Thursday
205,WFM Darien 3pm-7pm,True,2014,7,21,2014,7,25,Friday
206,"Williams-Sonoma Philly, 2pm-5pm",False,NULL,NULL,NULL,2014,7,26,Saturday
207,NoFo at the Pig 11am  2pm,False,NULL,NULL,NULL,2014,7,27,Sunday
208,,False,NULL,NULL,NULL,2014,7,28,Monday
209,Westerly Market 4pm-7pm,False,NULL,NULL,NULL,2014,7,29,Tuesday
210,,False,NULL,NULL,NULL,2014,7,30,Wednesday
211,,False,NULL,NULL,NULL,2014,7,31,Thursday
212,,False,NULL,NULL,NULL,2014,8,1,Friday
213,Lukes Drug Mart 1pm-4pm,False,NULL,NULL,NULL,2014,8,2,Saturday
214,Fairway Red Hook 12pm-3pm,False,NULL,NULL,NULL,2014,8,3,Sunday
215,,False,NULL,NULL,NULL,2014,8,4,Monday
216,,False,NULL,NULL,NULL,2014,8,5,Tuesday
217,,False,NULL,NULL,NULL,2014,8,6,Wednesday
218,,False,NULL,NULL,NULL,2014,8,7,Thursday
219,,False,NULL,NULL,NULL,2014,8,8,Friday
220,Bantam Market 1pm-4pm,False,NULL,NULL,NULL,2014,8,9,Saturday
221,WFM Darien 3pm-7pm,True,2014,8,4,2014,8,10,Sunday
222,"Southern Season Richmond, VA 6pm-9pm",False,NULL,NULL,NULL,2014,8,11,Monday
223,,False,NULL,NULL,NULL,2014,8,12,Tuesday
224,,False,NULL,NULL,NULL,2014,8,13,Wednesday
225,,False,NULL,NULL,NULL,2014,8,14,Thursday
226,,False,NULL,NULL,NULL,2014,8,15,Friday
227,Williams-Sonoma 59th St 2:30pm  5:30pm,False,NULL,NULL,NULL,2014,8,16,Saturday
228,Salazon Chocolate 12pm-3pm,False,NULL,NULL,NULL,2014,8,17,Sunday
229,,False,NULL,NULL,NULL,2014,8,18,Monday
230,"TFM Greensboro, NC 2pm-5pm",False,NULL,NULL,NULL,2014,8,19,Tuesday
231,,False,NULL,NULL,NULL,2014,8,20,Wednesday
232,,False,NULL,NULL,NULL,2014,8,21,Thursday
233,Vintage on 4th 5pm-8pm,False,NULL,NULL,NULL,2014,8,22,Friday
234,Southern Season Chapel Hill 12pm-3pm,False,NULL,NULL,NULL,2014,8,23,Saturday
235,WFM Nashua 2:30 pm  6:30pm,True,2014,8,18,2014,8,24,Sunday
236,local night WFM Melrose 4pm-7pm,True,2014,8,25,2014,8,25,Monday
237,,False,NULL,NULL,NULL,2014,8,26,Tuesday
238,,False,NULL,NULL,NULL,2014,8,27,Wednesday
