year,month,day,units,price,product_name,size,region,store
2014,8,4,3,12.66,PINK & BLACK,32OZ,North Atlantic,Brighton
2014,9,1,1,13.99,PINK & BLACK,32OZ,North Atlantic,Brighton
2014,9,8,1,13.99,PINK & BLACK,32OZ,North Atlantic,Brighton
2014,9,22,2,13.99,PINK & BLACK,32OZ,North Atlantic,Brighton
2014,11,3,1,13.99,PINK & BLACK,32OZ,North Atlantic,Brighton
2014,11,10,1,13.99,PINK & BLACK,32OZ,North Atlantic,Brighton
2014,3,24,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,4,7,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,4,14,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,4,21,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,4,28,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,5,5,7,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,5,12,3,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,5,19,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,7,21,1,11.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,8,18,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,8,25,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,9,1,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,9,22,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,10,6,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,10,20,1,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,11,17,4,13.99,THE CLASSIC,32OZ,North Atlantic,Brighton
2014,3,24,1,13.99,COCO-LADA,32OZ,North Atlantic,Fresh Pond
2014,4,28,2,13.99,COCO-LADA,32OZ,North Atlantic,Fresh Pond
2014,7,7,1,13.99,COCO-LADA,32OZ,North Atlantic,Fresh Pond
2014,9,29,1,13.99,COCO-LADA,32OZ,North Atlantic,Fresh Pond
2014,10,13,1,13.99,COCO-LADA,32OZ,North Atlantic,Fresh Pond
2014,10,27,1,13.99,COCO-LADA,32OZ,North Atlantic,Fresh Pond
2014,3,24,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,4,7,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,4,14,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,4,21,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,4,28,2,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,5,12,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,6,9,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,6,16,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,7,7,2,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,7,28,1,11.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,8,18,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,8,25,2,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,9,29,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,10,6,2,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,11,10,1,13.99,PINK & BLACK,32OZ,North Atlantic,Fresh Pond
2014,3,17,2,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,4,14,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,4,21,4,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,4,28,6,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,5,5,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,5,19,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,6,16,2,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,7,14,2,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,8,4,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,8,11,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,8,18,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,8,25,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,9,1,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,9,15,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,10,6,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,10,13,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,10,20,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,11,3,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,11,17,1,13.99,THE CLASSIC,32OZ,North Atlantic,Fresh Pond
2014,3,24,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,3,31,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,4,21,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,4,28,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,5,5,0,0,COCO-LADA,32OZ,North Atlantic,Symphony
2014,6,9,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,6,16,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,7,7,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,7,21,1,11.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,8,4,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,9,1,2,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,9,8,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,9,15,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,10,6,2,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,10,27,1,13.99,COCO-LADA,32OZ,North Atlantic,Symphony
2014,3,10,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,3,17,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,3,24,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,4,14,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,4,21,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,5,5,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,5,12,2,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,6,9,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,6,16,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,7,14,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,7,21,1,11.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,8,4,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,8,11,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,9,29,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,10,20,2,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,10,27,1,13.99,PINK & BLACK,32OZ,North Atlantic,Symphony
2014,4,14,1,13.99,THE CLASSIC,32OZ,North Atlantic,Symphony
