storenum,store,region,latitude,longitude,address,city,state,zip,geostate,geocounty,year,month,day,sku,product_name,size,units,price,,sku,,,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,4,21,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,5,5,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,6,2,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,6,16,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,6,30,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,7,21,The Classic 32OZ,The Classic,32OZ,1,11.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,8,18,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,9,1,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,9,22,The Classic 32OZ,The Classic,32OZ,2,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,10,13,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,10,20,The Classic 32OZ,The Classic,32OZ,2,13.99,,The,Classic,32OZ,
10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035,0400000US25,0500000US25015,2014,11,17,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,12,1,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,3,17,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,5,26,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,6,2,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,6,30,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,7,7,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,7,28,Pink & Black 32OZ,Pink & Black,32OZ,1,11.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,11,3,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,11,17,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,11,24,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,12,8,Pink & Black 32OZ,Pink & Black,32OZ,3,11.99,,Pink,&,Black,32OZ
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,5,26,The Classic 32OZ,The Classic,32OZ,6,13.99,,The,Classic,32OZ,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,7,28,The Classic 32OZ,The Classic,32OZ,1,11.99,,The,Classic,32OZ,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,8,11,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,9,22,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,11,24,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461,0400000US25,0500000US25017,2014,12,8,The Classic 32OZ,The Classic,32OZ,1,11.99,,The,Classic,32OZ,
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,9,15,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,12,8,Coco-Lada 32OZ,Coco-Lada,32OZ,1,11.99,,Coco-Lada,32OZ,,
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,3,31,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,5,12,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,5,26,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,7,14,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,9,15,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,9,22,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,9,29,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,10,27,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,11,10,Pink & Black 32OZ,Pink & Black,32OZ,-1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,11,17,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,11,24,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,12,1,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,7,7,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,NULL,0400000US44,0500000US44007,2014,12,1,The Classic 32OZ,The Classic,32OZ,1,13.99,,The,Classic,32OZ,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,3,24,Coco-Lada 32OZ,Coco-Lada,32OZ,0,0,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,28,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,12,Coco-Lada 32OZ,Coco-Lada,32OZ,3,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,5,26,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,7,7,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,7,14,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,8,4,Coco-Lada 32OZ,Coco-Lada,32OZ,1,13.99,,Coco-Lada,32OZ,,
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,3,31,Pink & Black 32OZ,Pink & Black,32OZ,1,13.99,,Pink,&,Black,32OZ
10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,NULL,0400000US25,0500000US25025,2014,4,7,Pink & Black 32OZ,Pink & Black,32OZ,2,13.99,,Pink,&,Black,32OZ
