Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,2,3,4,5,6,7
,,,,,,
8,9,10,11,12,13,14
,,,,,"BB&B 12pm-4pm Shaumburg, IL12pm-4pm / Williams-Sonoma San Fran, CA 1pm-4pm","BB&B 12pm-4pm Farmington Hills, MI 12pm-4pm"
15,16,17,18,19,20,21
"BB&B 12pm-4pm East Hanover, NJ",,,,,"Williams-Sonoma Salt Lake City, UT 1pm-4pm ",
22,23,24,25,26,27,28
,,,,,"BB&B 12pm-4pm Tyson’s Corner VA, 61st St NY, Woodbridge, NJ, West LA, 12pm-4pm",Southern Season Chapel Hill 1pm-4pm
29,30,,,,,
